arrStationName,arrTime,dptDate,dptStationName,dptTime,interval,seats,trainNo
泉州,19:25,2019-02-06,北京南,08:40,10小时45分,"{'无座': {'price': 778.5, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '特等座': {'price': 1476, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '二等座': {'price': 778.5, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 1307.5, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G355
泉州,19:25,2019-02-07,北京南,08:40,10小时45分,"{'特等座': {'price': 1476, 'count': 1, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 778.5, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '一等座': {'price': 1307.5, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G355
泉州,19:25,2019-02-08,北京南,08:40,10小时45分,"{'特等座': {'price': 1476, 'count': 1, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 778.5, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 1307.5, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G355
arrStationName,arrTime,dptDate,dptStationName,dptTime,interval,seats,trainNo
香港西九龙,13:29,2019-02-06,广州南,12:13,1小时16分,"{'商务座': {'price': 432, 'count': 8, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6541
香港西九龙,15:46,2019-02-06,广州南,15:00,46分,"{'商务座': {'price': 432, 'count': 19, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6535
香港西九龙,18:22,2019-02-06,广州南,17:35,47分,"{'商务座': {'price': 432, 'count': 12, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6537
香港西九龙,12:10,2019-02-06,广州南,11:13,57分,"{'无座': {'price': 215, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '商务座': {'price': 452, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '二等座': {'price': 215, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': -1, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6525
香港西九龙,12:28,2019-02-06,广州南,11:23,1小时5分,"{'商务座': {'price': 452, 'count': 12, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6549
香港西九龙,13:04,2019-02-06,广州南,11:55,1小时9分,"{'商务座': {'price': 452, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6533
